S.No.,State Code,State Name,District Code,District Name,Sub-district Code,Sub-district Version,Sub-district Name,Census 2001 code,Census 2011 code
80,10,BIHAR,205,MADHEPURA,1169,1,Alamnagar,12,01169
81,36,TELANGANA,695,JOGULAMBA GADWAL,4612,3,Alampur,64,04612
82,2,HIMACHAL PRADESH,18,KANGRA,6900,6,Alampur,,00000
83,28,ANDHRA PRADESH,505,EAST GODAVARI,4925,1,Alamuru,41,04925
84,29,KARNATAKA,538,KALABURAGI,5580,3,Aland,1,05580
85,33,TAMIL NADU,568,CHENNAI,5704,6,Alandur,0,05704
86,33,TAMIL NADU,582,PUDUKKOTTAI,5824,1,Alangudi,6,05824
87,33,TAMIL NADU,733,TENKASI,5875,2,Alangulam,6,05875
88,33,TAMIL NADU,581,PERAMBALUR,5951,7,Alathur,,00000
89,32,KERALA,563,PALAKKAD,5651,1,Alathur,5,05651
90,10,BIHAR,202,KHAGARIA,1322,1,Alauli,1,01322
91,20,JHARKHAND,331,GUMLA,2715,1,Albert Ekka(Jari),0,02715
92,6,HARYANA,65,JIND,6409,2,Alewa,,00000
93,18,ASSAM,289,HAILAKANDI,2106,1,Algapur,1,02106
94,27,MAHARASHTRA,491,RAIGAD,4177,1,Alibag,6,04177
95,9,UTTAR PRADESH,138,ETAH,1007,1,Aliganj,3,01007
96,10,BIHAR,195,DARBHANGA,1187,1,Alinagar,7,01187
97,7,DELHI,80,NORTH,6076,1,Alipur,,00000
98,19,WEST BENGAL,664,Alipurduar,2173,2,Alipurduar - I,8,02173
99,19,WEST BENGAL,664,Alipurduar,2174,2,Alipurduar - II,9,02174
100,23,MADHYA PRADESH,639,ALIRAJPUR,3713,6,Alirajpur,7,03713
101,36,TELANGANA,513,MEDAK,4470,2,Alladurg,20,04470
102,28,ANDHRA PRADESH,511,KURNOOL,5298,1,Allagadda,49,05298
103,9,UTTAR PRADESH,120,PRAYAGRAJ,890,1,Allahabad,3,00890
104,36,TELANGANA,690,BHADRADRI KOTHAGUDEM,6267,1,Allapalli,,00000
105,9,UTTAR PRADESH,121,AMBEDKAR NAGAR,908,2,Allapur,2,00908
106,28,ANDHRA PRADESH,505,EAST GODAVARI,4940,1,Allavaram,56,04940
107,28,ANDHRA PRADESH,515,SPSR NELLORE,5167,1,Allur,15,05167
108,29,KARNATAKA,530,VIJAYAPURA,7123,2,ALMEL,,00000
109,5,UTTARAKHAND,45,ALMORA,330,10,Almora,0003,00330
110,29,KARNATAKA,536,DHARWAD,7081,2,ALNAVAR,,00000
111,13,NAGALAND,246,MOKOKCHUNG,1759,1,Alongkima,2,01759
112,1,JAMMU AND KASHMIR,623,BANDIPORA,6809,4,Aloosa,,00000
113,23,MADHYA PRADESH,423,RATLAM,3502,1,Alot,3,03502
114,29,KARNATAKA,539,HASSAN,5557,1,Alur,5,05557
115,28,ANDHRA PRADESH,511,KURNOOL,5274,1,Alur,25,05274
