Local Body Code,Local Body Version,Local Body Name (IN English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Intermediate/Block Panchayat Code,District Panchayat Code,State Code,State Name (In English)
284867,2,Chigranggre,,22,Village Employment Council,291982,0,17,MEGHALAYA
284071,2,Chigro Agal,,22,Village Employment Council,293562,0,17,MEGHALAYA
284074,2,Chigro Songgital,,22,Village Employment Council,293562,0,17,MEGHALAYA
283767,2,Chijagamgre,,22,Village Employment Council,292506,0,17,MEGHALAYA
284100,2,Chijong Akong,Chijong Akong,22,Village Employment Council,291718,0,17,MEGHALAYA
286442,2,Chijongchiring,,22,Village Employment Council,293062,0,17,MEGHALAYA
284078,2,Chijong Gittim,,22,Village Employment Council,293292,0,17,MEGHALAYA
284079,2,Chijong Gittim Songgital,,22,Village Employment Council,293292,0,17,MEGHALAYA
283973,2,Chikal Dawa,,22,Village Employment Council,291840,0,17,MEGHALAYA
283974,2,Chikal Pekgro,,22,Village Employment Council,293389,0,17,MEGHALAYA
283977,2,Chikal Songma,,22,Village Employment Council,291840,0,17,MEGHALAYA
284137,2,Chikama,,22,Village Employment Council,291947,0,17,MEGHALAYA
282705,2,Chikasingre,,22,Village Employment Council,291841,0,17,MEGHALAYA
283041,2,Chikimilgre,,22,Village Employment Council,291842,0,17,MEGHALAYA
286302,2,Chikoit,,22,Village Employment Council,291843,0,17,MEGHALAYA
286418,2,Chikunbari A,,22,Village Employment Council,291844,0,17,MEGHALAYA
286419,2,Chikunbari B,,22,Village Employment Council,291845,0,17,MEGHALAYA
284439,2,Childimit Boldakgittim,,22,Village Employment Council,291832,0,17,MEGHALAYA
284199,2,Chilpara,,22,Village Employment Council,291846,0,17,MEGHALAYA
284198,2,Chilpara Reserve,,22,Village Employment Council,291846,0,17,MEGHALAYA
284161,2,Chima Apal,,22,Village Employment Council,291847,0,17,MEGHALAYA
284695,2,Chima Dachitgittim,,22,Village Employment Council,291848,0,17,MEGHALAYA
284192,2,Chimadare,,22,Village Employment Council,291631,0,17,MEGHALAYA
282677,2,Chimagre,,22,Village Employment Council,293735,0,17,MEGHALAYA
285163,2,Chimagre,,22,Village Employment Council,292254,0,17,MEGHALAYA
284690,2,Chimagre Gradekgittim,,22,Village Employment Council,291848,0,17,MEGHALAYA
284693,2,Chimagre Songgital,,22,Village Employment Council,291848,0,17,MEGHALAYA
283551,2,Chimanpara,,22,Village Employment Council,293582,0,17,MEGHALAYA
286389,2,Chimasora,,22,Village Employment Council,291849,0,17,MEGHALAYA
283919,2,Chimatcha,,22,Village Employment Council,291850,0,17,MEGHALAYA
285102,2,Chimengkari,,22,Village Employment Council,293334,0,17,MEGHALAYA
285769,2,Chimimang,,22,Village Employment Council,291571,0,17,MEGHALAYA
283885,2,Chimindik Apal,,22,Village Employment Council,292199,0,17,MEGHALAYA
284663,2,Chiminminggre,,22,Village Employment Council,293308,0,17,MEGHALAYA
283042,2,Chimisenggre,,22,Village Employment Council,292420,0,17,MEGHALAYA
285382,2,Chimitap,,22,Village Employment Council,291851,0,17,MEGHALAYA
284461,2,Chinabat,,22,Village Employment Council,291717,0,17,MEGHALAYA
282259,2,Chinabatgre,,22,Village Employment Council,291852,0,17,MEGHALAYA
282701,2,Chinapgre,,22,Village Employment Council,292095,0,17,MEGHALAYA
282627,2,Chinaranggre,,22,Village Employment Council,291854,0,17,MEGHALAYA
282442,2,Chinaronggre,,22,Village Employment Council,293167,0,17,MEGHALAYA
286409,2,Chintusora,,22,Village Employment Council,291855,0,17,MEGHALAYA
282715,2,Chiokgre,,22,Village Employment Council,293522,0,17,MEGHALAYA
284699,2,Chiokgre,,22,Village Employment Council,293377,0,17,MEGHALAYA
283834,2,Chipakram,,22,Village Employment Council,292130,0,17,MEGHALAYA
283135,2,Chipra,,22,Village Employment Council,291619,0,17,MEGHALAYA
283023,2,Chipra Kama,,22,Village Employment Council,292104,0,17,MEGHALAYA
283959,2,Chiprap,,22,Village Employment Council,291863,0,17,MEGHALAYA
286404,2,Chiragao,,22,Village Employment Council,291856,0,17,MEGHALAYA
287844,2,Chirakatta,,22,Village Employment Council,293481,0,17,MEGHALAYA
282100,2,Chirakawa,,22,Village Employment Council,291857,0,17,MEGHALAYA
283685,2,Chiram Aga,,22,Village Employment Council,292222,0,17,MEGHALAYA
283688,2,Chiram Christian,,22,Village Employment Council,292222,0,17,MEGHALAYA
283686,2,Chiram kamagre,,22,Village Employment Council,292222,0,17,MEGHALAYA
283689,2,Chiram Rajipur,,22,Village Employment Council,292222,0,17,MEGHALAYA
282178,2,Chiranggre,,22,Village Employment Council,292203,0,17,MEGHALAYA
295538,1,CHIRANGIRI,CHIRANGIRI,22,Village Employment Council,292203,0,17,MEGHALAYA
283663,2,Chiraragre,,22,Village Employment Council,291624,0,17,MEGHALAYA
285019,2,Chirenpara,,22,Village Employment Council,292188,0,17,MEGHALAYA
283933,2,Chirimdare,,22,Village Employment Council,291931,0,17,MEGHALAYA
284612,2,Chiringgro,Chiringgro,22,Village Employment Council,293335,0,17,MEGHALAYA
284762,2,Chiringmagre,,22,Village Employment Council,293306,0,17,MEGHALAYA
282949,2,Chiringpara,,22,Village Employment Council,292459,0,17,MEGHALAYA
282246,2,Chisakgre,,22,Village Employment Council,292743,0,17,MEGHALAYA
283336,2,Chisakgre - A,,22,Village Employment Council,291858,0,17,MEGHALAYA
283334,2,Chisakgre - B,,22,Village Employment Council,291859,0,17,MEGHALAYA
282419,2,Chisikgre,,22,Village Employment Council,291860,0,17,MEGHALAYA
283720,2,Chisim Aduma,,22,Village Employment Council,291572,0,17,MEGHALAYA
283749,2,Chisim Akanang,,22,Village Employment Council,292103,0,17,MEGHALAYA
283879,2,Chisim Apal,,22,Village Employment Council,291863,0,17,MEGHALAYA
