Local Body Code,Local Body Version,Local Body Name (IN English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Intermediate/Block Panchayat Code,District Panchayat Code,State Code,State Name (In English)
259500,1,1Ayouk,1Ayouk,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259493,1,7 Km. Farm,7 Km. Farm,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259504,1,Afra Bay,Afra Bay,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259448,1,Akupa,Akupa,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259470,1,Alexandera (River),Alexandera (River),11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259441,1,Alhiat,Alhiat,11,Village Council,259692,4973,35,ANDAMAN AND NICOBAR ISLANDS
259334,1,Alhitoth,Alhiloth,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259363,1,Alipa,Alips,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259333,1,Alkaipoh,Alkripoh,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259372,1,AlNilHitNilTouch (BaluBasti),AlNilHitNilTouch (BaluBasti),11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259423,1,Alointung,Alointung,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259428,1,Aloora,Aloora,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259427,1,Aloorang,Aloorang,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259424,1,Alpintu/Alpintung,Alpintu/Alpintung,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259379,1,Alreak,Alreak,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259354,1,Alsama,Alsama,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259352,1,Altaful,Altaful,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259371,1,Altheak,Altheak,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259405,1,Alukian,Alhukheck,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259446,1,Anul,Anula,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259313,1,Arrong,Arrong,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259345,1,Atkuna,Alkun,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259461,1,Bahua,Bahua,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259401,1,Banderkari (Pulu),Banderkari (Pulu),11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259437,1,Bengali,Bengali,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259412,1,BeraInak/Badnak,BeraInak/Badnak,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259462,1,Bewai (Kuwak),Bewai (Kuwak),11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259323,1,Big Lapati (Jayanti),Big Lapati (Jayanti),11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259381,1,Bompoka Island,Bompoka Island,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259397,1,Bumpal,Bumpal,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259374,1,Champin,Champin,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259400,1,Chanel (Chanol),Chanel (Chanol),11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259403,1,Changua,Changup,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259497,1,Chaw Nallah,Chaw Nallah,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259360,1,Chengtamilan,Chengtamilan,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259490,1,Chiengen,Chiengen,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259331,1,Chonghipoh,Chonghipoh,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259440,1,Chongkamong,Chongkamong,11,Village Council,259692,4973,35,ANDAMAN AND NICOBAR ISLANDS
259359,1,Chonsiyala,Chonsiyala,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259411,1,ChotaInak,ChotaInak,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259321,1,Chuckchucha,Chuckchucha,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259432,1,ChukMachi,ChukMachi,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259469,1,Dairkurat,Dairkurat,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259485,1,Dakhiyon (Near Kokeon) (Forest Camp),Dakhiyon (Near Kokeon) (Forest Camp),11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259480,1,Danlet,Danlet,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259398,1,Daring,Daring,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259475,1,Dogmar River,Dogmar River,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259458,1,Elahi/Ilhoya,Elahi/Ilhoya,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259429,1,Enam,Enam,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259382,1,E-Wall,E-Wall,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259491,1,Galathia River (Forest Camp),Galathia River (Forest Camp),11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259505,1,GolTikry,GolTikry,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259347,1,Hakonhala,Hakonhala,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259351,1,Halnatai(Hoinatai),Halnatai(Hoinatai),11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259365,1,Hindra,Hindra,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259375,1,Hinnunga,Hinnunga,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259483,1,Hin-Pou-Chi,Hin-Pou-Chi,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259380,1,Hintona,Hintona,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259329,1,Hitlat,Hitlat,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259454,1,Hoin (Incl. Ikuia),Hoin (Incl. Ikuia),11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259343,1,Hoipoh,Hoipoh,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259464,1,Hokesiang,Hokesiang,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259340,1,Hontona,Hontona,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259338,1,Hutnyak,Hutnyak,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259316,1,IAF Camp,IAF Camp,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259489,1,Indira Point,Indira Point,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259487,1,In-Hig-oi,In-Hig-oi,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259449,1,Inlock,Infock,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259466,1,Inlock/Pattia,Inlock/Pattia,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259425,1,Inmae,Inmae,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259459,1,Inod,Inod,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259383,1,Inroak/Chinlak,Inroak/Chinlak,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259378,1,ITOI,ITOI,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259328,1,Jansin,Jansin,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259384,1,Japan Tikry,Japan Tikry,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259327,1,Jhoola,Jhoola,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259315,1,Kakana,Kakana,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259414,1,Kakana,Kakana,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259431,1,Kalara,Kalara,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259436,1,Kalasi,Kalasi,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259361,1,Kalminikun,Kalmenkam,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259410,1,Kamorta/Kalatapu,Kamorta/Kalatapu,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259337,1,Kamriak,Kamriak,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259435,1,Kanahinot,Kanahinot,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259355,1,Kapanga,Kapanga,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259385,1,Kapila,Kapila,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259421,1,Karan (Karav),Karan (Karav),11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259478,1,Kasintung,Kasintung,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259468,1,Katahu,Katahu,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259335,1,Katahuwa,Katahuwa,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259353,1,Kavatinpeu,Karahinpoh,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259314,1,Kimois,Kimois,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259325,1,Kinmai,Kinmai,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259320,1,Kinyuka,Kinyuka,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259452,1,Kiyang,Kiyang,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259406,1,Knot,Knot,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259479,1,Koe,Koe,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259484,1,Kokeon,Kokeon,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259476,1,Kopen Heat,Kopen Heat,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259417,1,Kuikua,Kuikua,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259442,1,Kuitasuk,Kuitasuk,11,Village Council,259692,4973,35,ANDAMAN AND NICOBAR ISLANDS
259341,1,Kulatapangia,Kulatapangia,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259336,1,Kumikia,Kumikia,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259356,1,Kupinga,Kupinga,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259506,1,Lanaya,Lanaya,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259370,1,Lanuanga,Lanuanga,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259364,1,Lapat,Lapat,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259499,1,Lawful,Lawful,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259492,1,Laxmi Nagar,Laxmi Nagar,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259430,1,Luxi,Luxi,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259447,1,Makhahu (Makachua),Makhahu (Makachua),11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259317,1,Malacca,Malacca,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259373,1,Malacca,Malacca,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259419,1,Manjula,Manjula,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259344,1,Mapayala,Mapayala,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259399,1,Maru,Maru,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259404,1,Masala Tapu,Masala Tapu,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259330,1,Mavatapis,Maratapia,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259386,1,Meenakshi Ram Nagar,Meenakshi Ram Nagar,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259357,1,Mildera,Mildera,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259445,1,Minlana,Minlan,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259434,1,Minyuk,Minyuk,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259416,1,Mohreak/Kohreakap,Mohreak/Kohreakap,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259408,1,Munak (Incl. Ponioo [Moul]),Munak (Incl. Ponioo [Moul]),11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259310,1,Mus,Mus,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259366,1,Mus,Mus,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259498,1,Navy Dera,Navy Dera,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259368,1,Neang,Neang,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259395,1,NeecheTapu,NeecheTapu,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259501,1,Not Yet Named – B,Not Yet Named – B,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259502,1,Not Yet Named – C,Not Yet Named – C,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259494,1,Not Yet Named (Near 27.9 Kms.),Not Yet Named (Near 27.9 Kms.),11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259377,1,Nroak/Chiniak,Nroak/Chiniak,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259415,1,Nyicalang,Nyicalang,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259420,1,Okiya/Chiya,Okiya/Chiya,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259456,1,Olinch (Bombay),Olinch (Bombay),11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259396,1,Olipon (Alhinpon),Olipon (Alhinpon),11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259339,1,Ongulongho,Ongulongho,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259460,1,Pahayo,Pahayo,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259482,1,Patatiya,Patatiya,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259507,1,Patisang,Patisang,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259465,1,Pattia,Pattia,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259367,1,Payak,Payak,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259407,1,Payuha,Payuha,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259463,1,PEA,PEA,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259318,1,Perka,Perka,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259394,1,Pilpillow,Pilpillow,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259508,1,Pitayo,Pitayo,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259453,1,Pulloullo,Puloulo,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259488,1,Pulobaha,Pulobaha,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259451,1,Pulobaha (Paphathifen),Pulobaha (Paphathifen),11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259471,1,Pulobed,Pulobed,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259467,1,Pulobed (Lababu),Pulobed (Lababu),11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259455,1,Pulobha,Pulobahan,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259481,1,Pulobhabi,Pulobhabi,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259472,1,Pulokunji,Pulokunji,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259509,1,Pulomilo,Pulomilo,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259457,1,Pulopanja,Pulopanja,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259486,1,Pulopucca,Pulopucca,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259450,1,Pulotalio,PuloTohio,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259443,1,Raihion,Raihion,11,Village Council,259692,4973,35,ANDAMAN AND NICOBAR ISLANDS
259409,1,Ramzoo,Ramzoo,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259496,1,Ranganathan Bay,Ranganathan Bay,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259348,1,Reakomlong,Reakomlong,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259474,1,Renguang,Renguang,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259387,1,Safedbalu,Safedbalu,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259433,1,SafedBalu,SafedBalu,11,Village Council,259680,0,35,ANDAMAN AND NICOBAR ISLANDS
259332,1,Sanaya,Sanaya,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259312,1,Sawai,Sawai,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259495,1,Shompen Hut,Shompen Hut,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259473,1,Shompen Village – A,Shompen Village – A,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259477,1,Shompen Village - B,Shompen Village - B,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259324,1,Small Lapati,Small Lapati,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259349,1,Sonomkuwa,Sonomkuwa,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259439,1,Tahaila,Tahaila,11,Village Council,259692,4973,35,ANDAMAN AND NICOBAR ISLANDS
259422,1,Tamae,Tamae,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259319,1,Tamaloo,Tamaloo,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259389,1,Tanae,Tanae,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259346,1,Tani,Tani,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259376,1,Tapani (Tapainy),Tapani (Tapainy),11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259388,1,Tapiang,Tapiang,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259322,1,Tapoiming,Tapoiming,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259369,1,Tappong (Incl. Kabila),Tappong (Incl. Kabila),11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259350,1,Tavinkin,Tavakin,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259311,1,Teetop,Teetop,11,Village Council,259563,0,35,ANDAMAN AND NICOBAR ISLANDS
259390,1,Tilang Chong Island,Tilang Chong Island,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259402,1,Toame/Inme,Toame/Inme,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259391,1,Trinket,Trinket,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259503,1,Trinket Bay,Trinket Bay,11,Village Council,259698,0,35,ANDAMAN AND NICOBAR ISLANDS
259392,1,Upper Katchal,Upper Katchal,11,Village Council,259616,0,35,ANDAMAN AND NICOBAR ISLANDS
259418,1,Upper Tapu,Upper Tapu,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259413,1,Vikas Nagar,Vikas Nagar,11,Village Council,259647,0,35,ANDAMAN AND NICOBAR ISLANDS
259342,1,Vyavtapu,Vyavtapu,11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259358,1,West Bay Katchal (Hindra),West Bay Katchal (Hindra),11,Village Council,259580,0,35,ANDAMAN AND NICOBAR ISLANDS
259309,1,Car Nicobar,Car Nicobar,19,Tribal Council,0,0,35,ANDAMAN AND NICOBAR ISLANDS
259438,1,Chowra,Chowra,19,Tribal Council,0,0,35,ANDAMAN AND NICOBAR ISLANDS
259393,1,KAMORTA,KAMORTA,19,Tribal Council,0,0,35,ANDAMAN AND NICOBAR ISLANDS
259326,1,Katchal,Katchal,19,Tribal Council,0,0,35,ANDAMAN AND NICOBAR ISLANDS
259444,1,LittleNicobar&GreatNicobar,LittleNicobar&GreatNicobar,19,Tribal Council,0,0,35,ANDAMAN AND NICOBAR ISLANDS
259362,1,NANCOWRY,NANCOWRY,19,Tribal Council,0,0,35,ANDAMAN AND NICOBAR ISLANDS
259426,1,Teressa,Teressa,19,Tribal Council,0,0,35,ANDAMAN AND NICOBAR ISLANDS
269972,1,DIMA HASAO AUTONOMOUS COUNCIL,,10,Autonomous District Council,0,0,18,ASSAM
254932,2,Karbi Anglong Autonomous Council,Karbi Anglong Autonomous Council,10,Autonomous District Council,0,0,18,ASSAM
253605,3,64 Dhansiri,,15,VCDC,253409,0,18,ASSAM
253594,1,66 Dhansiri,,15,VCDC,253409,0,18,ASSAM
277605,1,Adla,,15,VCDC,253409,0,18,ASSAM
253692,6,Aflagaon,,15,VCDC,253409,0,18,ASSAM
253513,3,Alabari,,15,VCDC,253409,0,18,ASSAM
253592,4,Alabari,,15,VCDC,253409,0,18,ASSAM
261159,2,Alaori,Alaori,15,VCDC,253409,0,18,ASSAM
261176,2,Alukhunda,Alukhunda,15,VCDC,253409,0,18,ASSAM
253527,5,Ambagaon,,15,VCDC,253409,0,18,ASSAM
253471,1,AMBARI,,15,VCDC,253409,0,18,ASSAM
253639,4,Amguri,,15,VCDC,253409,0,18,ASSAM
253423,4,AMGURI,,15,VCDC,253409,0,18,ASSAM
253517,2,Amjuli,,15,VCDC,253409,0,18,ASSAM
253424,8,AMTEKA,,15,VCDC,253409,0,18,ASSAM
261139,2,Ananda Betini,Ananda Betini,15,VCDC,253409,0,18,ASSAM
253464,1,ANANDAPUR,,15,VCDC,253409,0,18,ASSAM
261136,3,Angardhowa,Angardhowa,15,VCDC,253409,0,18,ASSAM
253410,1,ANGULIA,,15,VCDC,253409,0,18,ASSAM
253698,4,Anthaibari (Amritpur),,15,VCDC,253409,0,18,ASSAM
261140,2,Ashrabari,Ashrabari,15,VCDC,253409,0,18,ASSAM
253472,3,ATHIABARI,,15,VCDC,253409,0,18,ASSAM
253550,1,Attareekhat,,15,VCDC,253409,0,18,ASSAM
253729,8,Babubil,,15,VCDC,253409,0,18,ASSAM
253480,1,BAGANPARA,,15,VCDC,253409,0,18,ASSAM
253425,2,BAGARGAON,,15,VCDC,253409,0,18,ASSAM
261109,2,Baghdoba,Baghdoba,15,VCDC,253409,0,18,ASSAM
253481,1,BAGULAMARI,,15,VCDC,253409,0,18,ASSAM
261134,1,Bahbari,Bahbari,15,VCDC,253409,0,18,ASSAM
253593,2,Bahipukhuri,,15,VCDC,253409,0,18,ASSAM
253722,2,Bairali,,15,VCDC,253409,0,18,ASSAM
261110,3,Balabari,Balabari,15,VCDC,253409,0,18,ASSAM
253705,2,Balagaon,,15,VCDC,253409,0,18,ASSAM
253579,2,Balipara,,15,VCDC,253409,0,18,ASSAM
253426,5,BALLAMGURI,,15,VCDC,253409,0,18,ASSAM
253715,1,Ballimari,,15,VCDC,253409,0,18,ASSAM
261141,2,Bamungaon Dattapur,Bamungaon Dattapur,15,VCDC,253409,0,18,ASSAM
253546,2,Bamunjuli,,15,VCDC,253409,0,18,ASSAM
261142,1,Bangaldoba,Bangaldoba,15,VCDC,253409,0,18,ASSAM
261083,1,Banganabari,Banganabari,15,VCDC,253409,0,18,ASSAM
253537,5,Bangaon,,15,VCDC,253409,0,18,ASSAM
253465,5,BARAMA,,15,VCDC,253409,0,18,ASSAM
261127,1,Barapeta,Barapeta,15,VCDC,253409,0,18,ASSAM
261113,1,Barghuli,Barghuli,15,VCDC,253409,0,18,ASSAM
253612,2,Barigaon,,15,VCDC,253409,0,18,ASSAM
253522,4,Barnagaon,,15,VCDC,253409,0,18,ASSAM
253622,2,Barnagaon,,15,VCDC,253409,0,18,ASSAM
261160,3,Barpathar,Barpathar,15,VCDC,253409,0,18,ASSAM
253466,1,BARSIMALGURI,,15,VCDC,253409,0,18,ASSAM
253666,4,Baruapara,,15,VCDC,253409,0,18,ASSAM
253706,1,Barzabil,,15,VCDC,253409,0,18,ASSAM
253637,6,Bashbari,,15,VCDC,253409,0,18,ASSAM
261082,1,Bathouguri,Bathouguri,15,VCDC,253409,0,18,ASSAM
253473,1,BELGURI,,15,VCDC,253409,0,18,ASSAM
253534,3,Bengbari,,15,VCDC,253409,0,18,ASSAM
261143,2,Bengtol,Bengtol,15,VCDC,253409,0,18,ASSAM
261144,1,Bengtol Serfang,Bengtol Serfang,15,VCDC,253409,0,18,ASSAM
261145,1,Besorbari Nangalbanga,Besorbari Nangalbanga,15,VCDC,253409,0,18,ASSAM
261111,1,Betna,Betna,15,VCDC,253409,0,18,ASSAM
261161,4,Bhabanipur,Bhabanipur,15,VCDC,253409,0,18,ASSAM
253525,2,Bhairaguri,,15,VCDC,253409,0,18,ASSAM
253742,1,Bhairiguri,,15,VCDC,253409,0,18,ASSAM
253577,3,Bhakatpara,,15,VCDC,253409,0,18,ASSAM
253609,5,Bhakatpara,,15,VCDC,253409,0,18,ASSAM
253640,2,Bhandranpur Bashbari,,15,VCDC,253409,0,18,ASSAM
261162,5,Bhangnamari,Bhangnamari,15,VCDC,253409,0,18,ASSAM
261182,6,Bhangnamari (Part),Bhangnamari (Part),15,VCDC,253409,0,18,ASSAM
253650,3,Bhatipara,,15,VCDC,253409,0,18,ASSAM
253561,4,Bhergami,,15,VCDC,253409,0,18,ASSAM
261087,1,Bhogpara,Bhogpara,15,VCDC,253409,0,18,ASSAM
253448,1,BHOGPUR BARLUCHAL,,15,VCDC,253409,0,18,ASSAM
253547,1,Bholatar,,15,VCDC,253409,0,18,ASSAM
253700,1,Bhomrabil,,15,VCDC,253409,0,18,ASSAM
253707,1,Bhorpur,,15,VCDC,253409,0,18,ASSAM
