S.No.,Assembly Constituency Code,Assembly Constituency ECI Code,Assembly Constituency Name,Block Code,Block Name,District Census 2011 Code,District Code,District Name,Localbody Code,Localbody Name,Parliament Constituency code,Parliament Constituency ECI Code,Parliament Constituency Name,State Name,Subdistrict Census 2011 Code,Subdistrict Code,Subdistrict Name,Village Census 2011 Code,Village Code,Village Name
6872,4070,64,Kilpennathur,6416,THURINJAPURAM,606,593,TIRUVANNAMALAI,231506,Kothanthavadi,538,,Tiruvannamalai,TAMIL NADU,00000,6630,Kilpennathur,632091,632091,Kothantavadi
6873,4069,65,Kalasapakkam,6409,KALASAPAKKAM,606,593,TIRUVANNAMALAI,231160,Adamangalam,538,,Tiruvannamalai,TAMIL NADU,00000,5959,Kalasapakkam,631752,631752,Athamangalam
6874,4010,186,Sivaganga,6313,MANAMADURAI,622,585,SIVAGANGA,228164,VEMBATHUR,528,33,Sivaganga,TAMIL NADU,05832,5832,Sivaganga,640302,640302,Vembathur
6875,3954,189,Madurai East,6219,MADURAI EAST,623,578,MADURAI,225277,VELLIANKUNDRAM,519,24,Madurai,TAMIL NADU,00000,5960,MADURAI EAST,640582,640582,Appanthirupathi
6876,3984,143,Lalgudi,6377,PULLAMBADI,614,591,TIRUCHIRAPPALLI,230313,E. Vellanur,524,28,Perambalur,TAMIL NADU,05777,5777,Lalgudi,635913,635913,Edangimangalam
6877,3972,95,Paramathi-velur,6239,ELACIPALAYAM,609,580,NAMAKKAL,225993,Pullagoundampatti,522,,Namakkal,TAMIL NADU,05745,5745,Tiruchengode,634461,634461,Pullagoundampatti
6878,4012,185,Tiruppattur,6318,TIRUPPATHUR,622,585,SIVAGANGA,228287,ALAMPATTI,528,33,Sivaganga,TAMIL NADU,05829,5829,Thiruppathur,640019,640019,Nattarmangalam
6879,4031,198,Andipatti,6342,KAMBAM,624,588,THENI,229076,Surulipatti,532,,Theni,TAMIL NADU,05845,5845,Uthamapalayam,641135,641135,Narayanathevanpatti North
6880,3984,143,Lalgudi,6377,PULLAMBADI,614,591,TIRUCHIRAPPALLI,230338,Thinnakulam,524,28,Perambalur,TAMIL NADU,05777,5777,Lalgudi,635933,635933,Viragalur
6881,4088,196,Thirumangalam,6223,T.KALLUPATTI,623,578,MADURAI,225392,M. senkulam,541,,Virudhunagar,TAMIL NADU,05839,5839,Peraiyur,640913,640913,Sengulam
6882,3954,189,Madurai East,6219,MADURAI EAST,623,578,MADURAI,225269,PUDUTHAMRAIPATTI,519,24,Madurai,TAMIL NADU,00000,5960,MADURAI EAST,640641,640641,Kodikulam BIT 1
6883,3862,3,Tiruttani,6350,PALLIPATTU,602,589,THIRUVALLUR,229361,Ramapuram,503,6,Arakkonam,TAMIL NADU,05697,5697,Pallipattu,628947,628947,Konasamudram
6884,3861,39,Sholingur,6446,NEMILI,000,731,Ranipet,232644,Kodambakkam,503,6,Arakkonam,TAMIL NADU,00000,6664,Nemili,630637,630637,Kodambakkam
6885,3944,138,Manapparai,6383,VAIYAMPATTI,614,591,TIRUCHIRAPPALLI,230471,Inamponnambalampatti,517,26,Karur,TAMIL NADU,05781,5781,Manapparai,636089,636089,Ponnambalapatti
6886,3865,70,Gingee,6462,MELMALAYANUR,607,596,VILLUPURAM,233356,Melsevalampadi,504,,Arani,TAMIL NADU,00000,6652,Melmalaiyanur,632302,632302,Sevalambadi (Kil)
6887,4006,91,Veerapandi,6301,SALEM,608,584,SALEM,227784,ANDIPATTI,527,16,Salem,TAMIL NADU,00000,5971,Salem West,633997,633997,Andipatti-Sowdapuram
6888,3957,194,Madurai West,6225,TIRUPPARANGUNRAM,623,578,MADURAI,225459,Earkudi Achampathu,519,24,Madurai,TAMIL NADU,00000,5961,MADURAI WEST,641017,641017,Erkudi
6889,4071,50,Tiruppattur,6440,KANDILI,000,732,Tirupathur,232447,NATHAM,538,,Tiruvannamalai,TAMIL NADU,05720,5720,Tirupathur,631134,631134,Karungalipatti
6890,3861,39,Sholingur,6448,SHOLINGHUR,000,731,Ranipet,232562,Vengupattu,503,6,Arakkonam,TAMIL NADU,00000,7060,Sholinghur,630551,630551,Vengapattu
6891,4069,65,Kalasapakkam,6413,PUDUPALAYAM,606,593,TIRUVANNAMALAI,231377,Pudurchengam,538,,Tiruvannamalai,TAMIL NADU,05725,5725,Chengam,631962,631962,Madanai RF
6892,3975,93,Senthamangalam,6251,SENDAMANGALAM,609,580,NAMAKKAL,226233,Kondamanaickenpatti,522,,Namakkal,TAMIL NADU,00000,6632,SENDAMANGALAM,634637,634637,Kondamanayakkanpatti
6893,3860,41,Ranipet,6452,WALAJAPET,000,731,Ranipet,232897,Narasingapuram,503,6,Arakkonam,TAMIL NADU,05714,5714,Wallajah,630546,630546,Narasingapuram (CT)
6894,4069,65,Kalasapakkam,6413,PUDUPALAYAM,606,593,TIRUVANNAMALAI,231376,Periyeri,538,,Tiruvannamalai,TAMIL NADU,05725,5725,Chengam,631887,631887,Perieri
6895,4071,50,Tiruppattur,6438,JOLARPET,000,732,Tirupathur,232354,CHINNAKAMMIYAMPATTU,538,,Tiruvannamalai,TAMIL NADU,05720,5720,Tirupathur,631077,631077,Ponneri
6896,3952,54,Veppanahalli,6211,SHOOLAGIRI,631,577,KRISHNAGIRI,224981,Koneripalli,518,14,Krishnagiri,TAMIL NADU,00000,6641,Shoolagiri,643796,643796,Nallaganakothapalli
6897,4009,187,Manamadurai,6309,ILAYANKUDI,622,585,SIVAGANGA,228019,Vani,528,33,Sivaganga,TAMIL NADU,05834,5834,Ilayangudi,640473,640473,Kottaiyur
6898,3949,53,Krishnagiri,6209,KRISHNAGIRI,631,577,KRISHNAGIRI,224929,Periyakottapalli,518,14,Krishnagiri,TAMIL NADU,05891,5891,Krishnagiri,643920,643920,Peddathanapalli
6899,4009,187,Manamadurai,6319,TIRUPPUVANAM,622,585,SIVAGANGA,228346,MANGUDI AMBALATHADI,528,33,Sivaganga,TAMIL NADU,00000,5965,Thiruppuvanam,640380,640380,Ambalathadi
6900,4075,46,Gudiyattam,6445,NATRAMPALLI,605,595,VELLORE,232609,KONDAKINDAPALLI,539,7,Vellore,TAMIL NADU,00000,6663,Pernambut,631067,631067,Kothur
6901,3952,54,Veppanahalli,6214,VEPPANAPALLI,631,577,KRISHNAGIRI,225106,Neralagiri,518,14,Krishnagiri,TAMIL NADU,05891,5891,Krishnagiri,643866,643866,Neralagiri
6902,4070,64,Kilpennathur,6410,KEELPENNATHUR,606,593,TIRUVANNAMALAI,231207,Anukkumalai,538,,Tiruvannamalai,TAMIL NADU,00000,6630,Kilpennathur,632213,632213,Anukkumalai
6903,3863,67,Arani,6418,VANDAVASI,606,593,TIRUVANNAMALAI,231662,Vazhur-agaram,504,,Arani,TAMIL NADU,05723,5723,Vandavasi,631506,631506,Agaram
6904,3926,78,Rishivandiyam,6465,RISHIVANDIAM,000,729,KALLAKURICHI,233531,Pavandhur,514,,Kallakurichi,TAMIL NADU,05733,5733,Sankarapuram,633360,633360,Pavandur
6905,3868,69,Vandavasi,6415,THELLAR,606,593,TIRUVANNAMALAI,231486,Thenvanakkampadi,504,,Arani,TAMIL NADU,05723,5723,Vandavasi,631572,631572,Vanakkambadi (THEN)
6906,3865,70,Gingee,6462,MELMALAYANUR,607,596,VILLUPURAM,233342,Kapplampadi,504,,Arani,TAMIL NADU,00000,6652,Melmalaiyanur,632288,632288,Kappalambadi
6907,3973,92,Rasipuram,6245,NAMAGIRIPET,609,580,NAMAKKAL,226120,Perappansolai,522,,Namakkal,TAMIL NADU,05746,5746,Rasipuram,634526,634526,Mavar
6908,4025,167,Mannargudi,6363,MANNARGUDI,619,590,THIRUVARUR,229811,MAHADEVAPATTINAM,531,31,Thanjavur,TAMIL NADU,05808,5808,Mannargudi,638259,638259,Mahadeva Pattinam I
6909,4088,196,Thirumangalam,6223,T.KALLUPATTI,623,578,MADURAI,225393,P. subbulapuram,541,,Virudhunagar,TAMIL NADU,05839,5839,Peraiyur,640892,640892,Subbalapuram
6910,4067,62,Chengam,6405,CHENGAM,606,593,TIRUVANNAMALAI,231044,Uchimalaikuppam,538,,Tiruvannamalai,TAMIL NADU,05725,5725,Chengam,631975,631975,Uchimalai RF
6911,4010,186,Sivaganga,6317,SIVAGANGA,622,585,SIVAGANGA,228276,Pillur,528,33,Sivaganga,TAMIL NADU,05832,5832,Sivaganga,640279,640279,Pillur
6912,3958,188,Melur,6221,MELUR,623,578,MADURAI,225326,NARASINGAMPATTI,519,24,Madurai,TAMIL NADU,05835,5835,Melur,640530,640530,Kalikulam
6913,3926,78,Rishivandiyam,6465,RISHIVANDIAM,000,729,KALLAKURICHI,233548,Vanapuram,514,,Kallakurichi,TAMIL NADU,05733,5733,Sankarapuram,633287,633287,Nagalkudi
6914,3868,69,Vandavasi,6418,VANDAVASI,606,593,TIRUVANNAMALAI,231635,Kottai,504,,Arani,TAMIL NADU,05723,5723,Vandavasi,631556,631556,Kottai
6915,4044,180,Pudukkottai,6273,PUDUKKOTTAI,621,582,PUDUKKOTTAI,226979,ThirumalairayaSamudram,534,27,Tiruchirappalli,TAMIL NADU,05821,5821,Pudukkottai,639442,639442,Thirumalaraya Samudram
6916,4012,185,Tiruppattur,6316,SINGAMPUNARI,622,585,SIVAGANGA,228230,Melappatti,528,33,Sivaganga,TAMIL NADU,00000,5995,Singampunari,639982,639982,Melapatti
6917,4077,47,Vaniyambadi,6450,TIRUPPATTUR,000,732,Tirupathur,232830,ANDIYAPPANUR,539,7,Vellore,TAMIL NADU,05718,5718,Vaniyambadi,630967,630967,Andiyappanur (R.F)
6918,4082,73,Vanur,6458,KANDAMANGALAM,607,596,VILLUPURAM,233162,PAKKIRIPALAYAM,540,,Viluppuram,TAMIL NADU,00000,5978,Vikravandi,632943,632943,Pakkiripalayam
6919,4045,139,Srirangam,6370,ANDANALLUR,614,591,TIRUCHIRAPPALLI,230096,Periyakaruppur,534,27,Tiruchirappalli,TAMIL NADU,05778,5778,Srirangam,635969,635969,Periakaruppur
6920,4045,139,Srirangam,6370,ANDANALLUR,614,591,TIRUCHIRAPPALLI,230086,Kodiyalam,534,27,Tiruchirappalli,TAMIL NADU,05778,5778,Srirangam,635967,635967,Kodiyalam
6921,3925,80,Kallakurichi,6467,THIAGADURGAM,000,729,KALLAKURICHI,233630,VALAVANTHANKUPPAM,514,,Kallakurichi,TAMIL NADU,05734,5734,Kallakkurichi,633454,633454,Valavandankuppam
