Assembly Constituency Code,Assembly Constituency ECI Code,Assembly Constituency Name,Block Code,Block Name,District Census 2011 Code,District Code,District Name,Localbody Code,Localbody Name,Parliament Constituency code,Parliament Constituency ECI Code,Parliament Constituency Name,State Name,Subdistrict Census 2011 Code,Subdistrict Code,Subdistrict Name,Village Census 2011 Code,Village Code,Village Name
3589,198,Arkalgud,5852,HOLENARSIPUR,574,539,HASSAN,218421,KODIHALLI,469,19,Hassan,KARNATAKA,05559,5559,Hole Narsipur,616872,616872,Kattehosahalli Hantha,
3537,139,Gauribidanur,5868,GAURIBIDANUR,582,630,CHIKKABALLAPURA,218887,DODDAKURUGODU,462,9,Chikkballapur,KARNATAKA,05595,5595,Gauribidanur,623249,623249,Malenahalli,
3628,190,Shrirangapattana,5882,MANDYA,573,544,MANDYA,219343,INDUVALU,473,14,Mandya,KARNATAKA,05550,5550,Mandya,614466,614466,Sundahalli,
3605,147,Bangarapet,5865,BANGARAPET,581,542,KOLAR,218791,CHIKKA ANKANDAHALLY,471,10,Kolar,KARNATAKA,05593,5593,Bangarapet,622467,622467,Pakarahalli,
3503,88,Hadagalli,5783,HAGARIBOMMANAHALLI,565,528,BALLARI,216173,BANNIKALLU,458,5,Ballari,KARNATAKA,05497,5497,Hagaribommanahalli,604646,604646,Hanumagondanahalli,
3588,41,Sedam,5838,CHINCHOLI,579,538,KALABURAGI,217937,HOODEBEERANALLI,468,2,Kalaburagi,KARNATAKA,05583,5583,Chincholi,620436,620436,Korvi,
3594,127,Kadur,5803,KADUR,570,532,CHIKKAMAGALURU,216855,HIRENALLUR,469,19,Hassan,KARNATAKA,05529,5529,Kadur,609407,609407,Melenahalli,
3647,117,Sagar,5900,SAGAR,568,547,SHIVAMOGGA,219923,MALVE,476,21,Shivamogga,KARNATAKA,05515,5515,Sagar,607192,607192,Eli,
3612,144,Srinivaspur,5874,SRINIVASPUR,581,542,KOLAR,219057,LAKSHMISAGARA,471,10,Kolar,KARNATAKA,05590,5590,Srinivaspur,621729,621729,Manjulanagara,
3623,187,Maddur,5880,MADDUR,573,544,MANDYA,219254,HOSAKERE,473,14,Mandya,KARNATAKA,05551,5551,Maddur,614536,614536,Rampura,
3641,53,Raichur Rural,5895,MANVI,559,546,RAICHUR,219744,GORKAL,475,3,Raichur,KARNATAKA,05462,5462,Manvi,601002,601002,Walkam Dinni,
3645,112,Bhadravati,5898,BHADRAVATI,568,547,SHIVAMOGGA,219851,HIRIYURU,476,21,Shivamogga,KARNATAKA,05521,5521,Bhadravati,608644,608644,Hiriyur,
3503,88,Hadagalli,5782,HADAGALLI,565,528,BALLARI,216145,DASANAHALLI,458,5,Ballari,KARNATAKA,05496,5496,Hadagalli,604592,604592,Budanur,
3587,35,Jevargi,5841,JEVARGI,579,538,KALABURAGI,218032,BALBATTI,468,2,Kalaburagi,KARNATAKA,05586,5586,Jevargi,620839,620839,Amberkhed,
3641,53,Raichur Rural,5896,RAICHUR,559,546,RAICHUR,219799,YAPALADINNI,475,3,Raichur,KARNATAKA,05461,5461,Raichur,600763,600763,Yapaldinni,
3593,197,Holenarasipur,5852,HOLENARSIPUR,574,539,HASSAN,218417,HARIHARAPURA,469,19,Hassan,KARNATAKA,05559,5559,Hole Narsipur,616830,616830,Chakenahalli,
3647,117,Sagar,5899,HOSANAGARA,568,547,SHIVAMOGGA,219886,JENI,476,21,Shivamogga,KARNATAKA,05518,5518,Hosanagara,607867,607867,Dumma,
3476,153,Yeshvanthapura,5762,BENGALURU SOUTH,572,525,BENGALURU URBAN,215385,KUMBALAGODU,454,12,Bengaluru North,KARNATAKA,05543,5543,Bengaluru South,000000,924217,HOSAPAALYA,
3554,97,Molakalmuru,5809,CHALLAKERE,566,533,CHITRADURGA,217038,NELAGETHANAHATTI,464,7,Chitradurga,KARNATAKA,05504,5504,Challakere,605246,605246,Hirekere Kaval,
3652,114,Tirthahalli,5902,SHIVAMOGGA,568,547,SHIVAMOGGA,219995,HOSAHALLI,476,21,Shivamogga,KARNATAKA,05520,5520,Shivamogga,608474,608474,Lakshmi Pura,
3593,197,Holenarasipur,5851,HASSAN,574,539,HASSAN,218394,MELAGODU,469,19,Hassan,KARNATAKA,05556,5556,Hassan,615985,615985,Haranahalli,
3591,195,Belur,5848,ARSIKERE,574,539,HASSAN,218246,ARAKERE,469,19,Hassan,KARNATAKA,05555,5555,Arsikere,615498,615498,Bommenahalli,
3592,196,Hassan,5851,HASSAN,574,539,HASSAN,218404,THATTEKERE,469,19,Hassan,KARNATAKA,05556,5556,Hassan,616016,616016,Haluvagilu,
3531,220,T.narasipur,5892,TIRUMAKUDAL-NARSIPUR,577,545,MYSURU,219647,HEMMIGE,461,15,Chamarajanagar,KARNATAKA,05575,5575,Tirumakudal - Narsipur,619422,619422,Chandahalli,
3523,31,Nagthan,5794,VIJAYAPURA,557,530,VIJAYAPURA,216540,MADABHAVI,460,28,Vijayapura,KARNATAKA,05449,5449,Vijayapura,599098,599098,Kaulagi,
3530,214,Nanjangud,5890,NANJANGUD,577,545,MYSURU,219598,NALLETHALAPURA,461,15,Chamarajanagar,KARNATAKA,05574,5574,Nanjangud,619123,619123,Madanahalli,
3528,213,Heggadadevankote,5886,HEGGADADEVANKOTE,577,545,MYSURU,219467,THUMBASOGE,461,15,Chamarajanagar,KARNATAKA,05573,5573,Heggadadevankote,619120,619120,Chowdahalli,
3667,126,Tarikere,5808,TARIKERE,570,532,CHIKKAMAGALURU,216998,LINGADAHALLI,478,18,Udupi Chikkamagaluru,KARNATAKA,05528,5528,Tarikere,609334,609334,Lingadahalli (Kaval),
3532,219,Varuna,5890,NANJANGUD,577,545,MYSURU,219596,MARALURU,461,15,Chamarajanagar,KARNATAKA,05574,5574,Nanjangud,619185,619185,Maraluru,
3531,220,T.narasipur,5892,TIRUMAKUDAL-NARSIPUR,577,545,MYSURU,219665,T.DODDAPURA,461,15,Chamarajanagar,KARNATAKA,05575,5575,Tirumakudal - Narsipur,619436,619436,Mavinahalli,
3656,138,Madhugiri,5909,MADHUGIRI,571,548,TUMAKURU,220218,BIJAVARA,477,8,Tumakuru,KARNATAKA,05535,5535,Madhugiri,610856,610856,Palyadahalli,
3659,133,Tumakuru Rural,5913,TUMAKURU,571,548,TUMAKURU,220367,HETHANAHALLI,477,8,Tumakuru,KARNATAKA,05537,5537,Tumakuru,611555,611555,Kaidala,
3590,194,Arsikere,5848,ARSIKERE,574,539,HASSAN,218269,KAMASAMUDRA,469,19,Hassan,KARNATAKA,05555,5555,Arsikere,615660,615660,Mallenahalli,
3512,51,Bhalki,5790,BHALKI,558,529,BIDAR,216376,DAWARGAON,459,1,Bidar,KARNATAKA,05455,5455,Bhalki,599944,599944,Chitta,
3595,199,Sakleshpur,5853,SAKALESHPUR,574,539,HASSAN,218453,MALALI,469,19,Hassan,KARNATAKA,05553,5553,Sakleshpur,614841,614841,Kogaravalli,
3610,145,Mulbagal,5872,MULBAGAL,581,542,KOLAR,218997,EMMENATHA,471,10,Kolar,KARNATAKA,05594,5594,Mulbagal,622964,622964,Kannasandra,
3588,41,Sedam,5842,SEDAM,579,538,KALABURAGI,218072,LINGAMPALLI,468,2,Kalaburagi,KARNATAKA,05584,5584,Sedam,620516,620516,Bomdepalli,
3605,147,Bangarapet,5865,BANGARAPET,581,542,KOLAR,218823,YELESANDRA,471,10,Kolar,KARNATAKA,05593,5593,Bangarapet,622568,622568,Buvanahalli,
3642,37,Shahapur,5844,SHORAPUR,580,635,YADGIR,218160,YALAGI,475,3,Raichur,KARNATAKA,05587,5587,Shorapur,620890,620890,Shivaji Nagar,
3621,211,Krishnarajanagara,5888,KRISHNARAJANAGARA,577,545,MYSURU,219501,BYADARAHALLY,473,14,Mandya,KARNATAKA,05571,5571,Krishnarajanagara,618654,618654,Adaganahalli,
3643,36,Shorapur,5844,SHORAPUR,580,635,YADGIR,218129,DEVATKAL,475,3,Raichur,KARNATAKA,05587,5587,Shorapur,621012,621012,Halbhavi,
3618,58,Sindhanur,5897,SINDHANUR,559,546,RAICHUR,219827,ROUDAKUNDA,472,4,Koppal,KARNATAKA,05463,5463,Sindhnur,000000,924585,AMBANAGARCAMP,
3605,147,Bangarapet,5870,KOLAR,581,542,KOLAR,218936,HUTTUR,471,10,Kolar,KARNATAKA,05591,5591,Kolar,622054,622054,Yanadahalli,
3594,127,Kadur,5803,KADUR,570,532,CHIKKAMAGALURU,216882,SOMANAHALLI,469,19,Hassan,KARNATAKA,05529,5529,Kadur,609573,609573,Mallagatta,
3666,123,Sringeri,5807,SRINGERI,570,532,CHIKKAMAGALURU,216961,KERE,478,18,Udupi Chikkamagaluru,KARNATAKA,05525,5525,Sringeri,608926,608926,Balekadi,
3610,145,Mulbagal,5872,MULBAGAL,581,542,KOLAR,218995,DEVARAYASAMUDRA,471,10,Kolar,KARNATAKA,05594,5594,Mulbagal,622938,622938,Chikkahonasettihalli,
3453,23,Badami,5753,BADAMI,556,524,BAGALKOTE,215179,PARVATI,452,27,Bagalkot,KARNATAKA,05446,5446,Badami,598676,598676,Khanapur.S.P.,
3586,39,Gurmitkal,5845,YADGIR,580,635,YADGIR,218185,KOULURU,468,2,Kalaburagi,KARNATAKA,05589,5589,Yadgir,621315,621315,Shettikera,
3590,194,Arsikere,5848,ARSIKERE,574,539,HASSAN,218262,HIRIYUR,469,19,Hassan,KARNATAKA,05555,5555,Arsikere,615553,615553,Kanihalli,
3595,199,Sakleshpur,5853,SAKALESHPUR,574,539,HASSAN,218450,KURUBATHUR,469,19,Hassan,KARNATAKA,05553,5553,Sakleshpur,614981,614981,Echalapura,
3635,210,Piriyapatna,5891,PIRIYAPATNA,577,545,MYSURU,219633,RAMANATHATUNGA,474,16,Mysuru,KARNATAKA,05569,5569,Piriyapatna,618217,618217,Aswalu,
3550,99,Chitradurga,5810,CHITRADURGA,566,533,CHITRADURGA,217064,GONUR,464,7,Chitradurga,KARNATAKA,05505,5505,Chitradurga,605571,605571,Kallenahalli,
3595,199,Sakleshpur,5853,SAKALESHPUR,574,539,HASSAN,218447,HOSUR,469,19,Hassan,KARNATAKA,05553,5553,Sakleshpur,615050,615050,Hanase Estate,
3556,136,Sira,5911,SIRA,571,548,TUMAKURU,220292,BUPPASANDRA,464,7,Chitradurga,KARNATAKA,05533,5533,Sira,610470,610470,Bhupasandra,
3595,199,Sakleshpur,5846,ALUR,574,539,HASSAN,218208,KANATHUR,469,19,Hassan,KARNATAKA,05557,5557,Alur,616376,616376,Sugganahalli,
